Sample,Latency_secs
0,0.000595741
1,0.000420705
2,0.000491467
3,0.000510652
4,0.000617673
5,0.000431154
6,0.000341417
7,0.000665431
8,0.000505132
9,0.000532453
10,0.000369679
11,0.000478282
12,0.000500834
13,0.000387813
14,0.000712069
15,0.000651756
16,0.000544356
17,0.000541911
18,0.0006595
19,0.000597875
20,0.000459688
21,0.000604538
22,0.000615989
23,0.00056815
24,0.000594228
25,0.000612502
26,0.000562078
27,0.000537212
28,0.000531551
29,0.000663297
30,0.000633271
31,0.000559935
32,0.000591734
33,0.000470478
34,0.000562509
35,0.000577016
36,0.000533595
37,0.000725023
38,0.000618934
39,0.000550627
40,0.000454638
41,0.000533395
42,0.00031093
43,0.000668527
44,0.000598025
45,0.000486778
46,0.000569252
47,0.000676121
48,0.000506304
49,0.000591985
50,0.00056825
51,0.000474726
52,0.000413001
53,0.000586043
54,0.000519999
55,0.000523426
56,0.000555817
57,0.000643991
58,0.000420074
59,0.000509811
60,0.000492188
61,0.00057895
62,0.000677844
63,0.000675039
64,0.000535609
65,0.000555045
66,0.000674528
67,0.000586003
68,0.000528797
69,0.000636788
70,0.000604648
71,0.000452363
72,0.000526101
73,0.000556728
74,0.000610188
75,0.000640184
76,0.000467212
77,0.00062704
78,0.000539587
79,0.000542532
80,0.000637619
81,0.000667575
82,0.000596383
83,0.000578659
84,0.000635325
85,0.000656555
86,0.000485035
87,0.0005791
88,0.000621349
89,0.000690027
90,0.000564983
91,0.000660822
92,0.000577878
93,0.000438047
94,0.000628032
95,0.000606461
96,0.000442204
97,0.000490986
98,0.000325458
99,0.000411497
100,0.000805472
101,0.000633822
102,0.000525721
103,0.000570294
104,0.000577918
105,0.000308095
106,0.000498911
107,0.000644632
108,0.000394426
109,0.000666984
110,0.00035431
111,0.000583319
112,0.000501155
113,0.000409243
114,0.000527524
115,0.000360452
116,0.000612933
117,0.000457484
118,0.000570834
119,0.000492489
120,0.000575083
121,0.000574131
122,0.000657417
123,0.000490164
124,0.000471159
125,0.000559975
126,0.00051485
127,0.000491918
128,0.000580002
129,0.000379588
130,0.000491927
131,0.000384006
132,0.000271697
133,0.000548192
134,0.000426065
135,0.000560576
136,0.000656445
137,0.000609778
138,0.00056315
139,0.000669689
140,0.000532183
141,0.000620527
142,0.000587797
143,0.00033242
144,0.00053627
145,0.00055232
146,0.000554785
147,0.000647178
148,0.000446533
149,0.000445191
150,0.000459838
151,0.000490935
152,0.000589079
153,0.00053118
154,0.000434941
155,0.00055196
156,0.00033279
157,0.000575002
158,0.000619586
159,0.000553633
160,0.000535078
161,0.000534998
162,0.000529508
163,0.000645975
164,0.000536742
165,0.000606691
166,0.00035928
167,0.000552691
168,0.00059505
169,0.000495514
170,0.000616359
171,0.00071834
172,0.000439079
173,0.000435382
174,0.000551228
175,0.000479264
176,0.000650083
177,0.000442916
178,0.000448356
179,0.000523657
180,0.00046666
181,0.000595962
182,0.000424342
183,0.000539136
184,0.000432186
185,0.000500213
186,0.000362626
187,0.000624655
188,0.00038068
189,0.000514169
190,0.00050926
191,0.000634373
192,0.00050944
193,0.00046635
194,0.000440322
195,0.000270665
196,0.000478352
197,0.000351075
198,0.000501635
199,0.000607653
200,0.000685258
201,0.000512756
202,0.000513077
203,0.000508538
204,0.00048269
205,0.000491847
206,0.000526472
207,0.000386781
208,0.000489213
209,0.000640434
210,0.000638471
211,0.000602224
212,0.000706668
213,0.000447735
214,0.000411317
215,0.000406819
216,0.000321509
217,0.000317953
218,0.000458104
219,0.000367836
220,0.000436364
221,0.000571376
222,0.000508519
223,0.000516574
224,0.000372515
225,0.000409033
226,0.000545237
227,0.000426135
228,0.000535219
229,0.000614125
230,0.000543003
231,0.000450019
232,0.000556077
233,0.000615468
234,0.000494201
235,0.000550777
236,0.000506615
237,0.000536862
238,0.000532483
239,0.000586735
240,0.000576405
241,0.000533665
242,0.000496666
243,0.00042912
244,0.00045054
245,0.000433258
246,0.000539807
247,0.000576064
248,0.000547471
249,0.000473934
250,0.000620166
251,0.000446262
252,0.00053569
253,0.000570855
254,0.000517235
255,0.000382193
256,0.00043446
257,0.000576585
258,0.000542181
259,0.000542111
260,0.000508598
261,0.000618634
262,0.000547631
263,0.000483041
264,0.000351275
265,0.000502337
266,0.000724722
267,0.000573821
268,0.000699214
269,0.000473623
270,0.000678426
271,0.000540648
272,0.000531301
273,0.000558692
274,0.000497147
275,0.000485515
276,0.000517084
277,0.000379277
278,0.000469776
279,0.000452534
280,0.000523737
281,0.000515091
282,0.000480496
283,0.000454538
284,0.000625697
285,0.000538635
286,0.00052557
287,0.000539877
288,0.000384066
289,0.000642769
290,0.000427307
291,0.000508057
292,0.000533415
293,0.000587005
294,0.000556307
295,0.00043423
296,0.000591293
297,0.000652797
298,0.000417478
299,0.0005576
300,0.000550757
301,0.000565044
302,0.000644261
303,0.00048783
304,0.000523166
305,0.000513858
306,0.000577006
307,0.000421105
308,0.000613926
309,0.000394406
310,0.000404304
311,0.000633121
312,0.000756972
313,0.000413922
314,0.000620277
315,0.000590342
316,0.000490615
317,0.000519609
318,0.000415084
319,0.000563461
320,0.000565455
321,0.000319105
322,0.00038054
323,0.000553171
324,0.000541159
325,0.000581254
326,0.000555026
327,0.000439309
328,0.000532583
329,0.000544205
330,0.000562429
331,0.000518026
332,0.000468174
333,0.000554675
334,0.000577137
335,0.000618994
336,0.000528316
337,0.000515742
338,0.000372655
339,0.000566046
340,0.00053081
341,0.000379428
342,0.000534897
343,0.000396209
344,0.000608585
345,0.000458355
346,0.000546479
347,0.000480436
348,0.000404224
349,0.000525209
350,0.000594398
351,0.000466851
352,0.000522625
353,0.00063249
354,0.000599999
355,0.00057351
356,0.000460449
357,0.000569612
358,0.000403252
359,0.00054129
360,0.000348259
361,0.000447244
362,0.00059013
363,0.000522795
364,0.000530049
365,0.000551158
366,0.000537883
367,0.0004503
368,0.000594008
369,0.000406247
370,0.00035419
371,0.000546469
372,0.000381602
373,0.000422067
374,0.000563631
375,0.000608475
376,0.000542692
377,0.000521523
378,0.000541991
379,0.000549325
380,0.000556347
381,0.000523136
382,0.000551378
383,0.000571546
384,0.000542422
385,0.000519248
386,0.000589159
387,0.000589129
388,0.000528466
389,0.000375371
390,0.0004291
391,0.000437466
392,0.000505714
393,0.00044486
394,0.000427126
395,0.000571326
396,0.000614516
397,0.000600931
398,0.000560065
399,0.000554104
400,0.000536991
401,0.000539436
402,0.000616509
403,0.000413571
404,0.000562028
405,0.000506645
406,0.000494462
407,0.000502186
408,0.000531852
409,0.000502989
410,0.000436865
411,0.000623673
412,0.000615137
413,0.000527584
414,0.000539436
415,0.000583929
416,0.000456191
417,0.000479344
418,0.000555256
419,0.000632419
420,0.000486708
421,0.00057862
422,0.00055209
423,0.000572638
424,0.000416386
425,0.00056825
426,0.000605319
427,0.000515211
428,0.0004237
429,0.000638892
430,0.000551198
431,0.000489272
432,0.000525961
433,0.000569843
434,0.000523116
435,0.000384978
436,0.000516443
437,0.000510612
438,0.000629134
439,0.000541029
440,0.000613865
441,0.000683755
442,0.000527294
443,0.00062714
444,0.000586735
445,0.000685408
446,0.000626118
447,0.00060622
448,0.000561167
449,0.000369098
450,0.00060611
451,0.000610549
452,0.000619085
453,0.000510562
454,0.000601953
455,0.000504511
456,0.000447355
457,0.000363508
458,0.000326589
459,0.000356616
460,0.000413721
461,0.000680078
462,0.000263311
463,0.000404053
