Sample,Latency_secs
0,0.000555887
1,0.00041796
2,0.000367595
3,0.000416978
4,0.000360743
5,0.000518768
6,0.000415144
7,0.000635886
8,0.000548222
9,0.00056796
10,0.000625056
11,0.000612332
12,0.000574121
13,0.000770648
14,0.000540378
15,0.000242963
16,0.000473272
17,0.000528185
18,0.000624165
19,0.000360262
20,0.000544806
21,0.000619005
22,0.000608445
23,0.000433018
24,0.000655031
25,0.000530059
26,0.000614145
27,0.000426816
28,0.00056336
29,0.000402832
30,0.000494041
31,0.000390879
32,0.00055187
33,0.000436494
34,0.000515051
35,0.000581254
36,0.000521202
37,0.000543834
38,0.000572197
39,0.000594989
40,0.000411758
41,0.000410435
42,0.000630246
43,0.000477861
44,0.000467763
45,0.000565274
46,0.000567118
47,0.000686831
48,0.000526873
49,0.000314917
50,0.000585442
51,0.000313846
52,0.000378326
53,0.000432377
54,0.000387984
55,0.000477039
56,0.000488221
57,0.000281435
58,0.0003914
59,0.000346326
60,0.00032689
61,0.000588117
62,0.000545778
63,0.000384518
64,0.000594099
65,0.000524648
66,0.000572097
67,0.000555837
68,0.000499001
69,0.000575584
70,0.000455089
71,0.000556758
72,0.000387312
73,0.000528115
74,0.000533445
75,0.000492749
76,0.000507747
77,0.000486728
78,0.000472261
79,0.00036476
80,0.000264163
81,0.000416808
82,0.000515492
83,0.000363508
84,0.000510402
85,0.000677123
86,0.000403413
87,0.000457944
88,0.00041286
89,0.000505382
90,0.00058397
91,0.000532062
92,0.000564824
93,0.00068087
94,0.000583709
95,0.000521312
96,0.000528556
97,0.000399024
98,0.000580683
99,0.000394776
100,0.000596232
101,0.000339403
102,0.000378295
103,0.000383335
104,0.000358379
105,0.00046627
106,0.00057401
107,0.000552892
108,0.000599318
109,0.000598827
110,0.000458756
111,0.000458465
112,0.000205122
113,0.000360753
114,0.000484113
115,0.000462924
116,0.000425483
117,0.000484403
118,0.000634504
119,0.000440531
120,0.000509571
121,0.000567358
122,0.000315819
123,0.000573509
124,0.000626238
125,0.000559353
126,0.000637339
127,0.000414693
128,0.000370661
129,0.000348851
130,0.000334715
131,0.000476228
132,0.000503759
133,0.000391741
134,0.000575023
135,0.000597024
136,0.000516614
137,0.000531221
138,0.000617221
139,0.000499732
140,0.000437145
141,0.000213688
142,0.000288999
143,0.000481338
144,0.00059501
145,0.000525911
146,0.00058413
147,0.000651686
148,0.000595831
149,0.000671363
150,0.000514811
151,0.000377544
152,0.000462272
153,0.000625006
154,0.000363478
155,0.000558542
156,0.000610409
157,0.000481839
158,0.000596422
159,0.00051469
160,0.000594299
161,0.000384447
162,0.000437746
163,0.000339132
164,0.000529518
165,0.000425493
166,0.000363297
167,0.000347578
168,0.00031117
169,0.000538705
170,0.000519369
171,0.000635124
172,0.000510142
173,0.000581946
174,0.000505673
175,0.0005412
176,0.000547511
177,0.000458255
178,0.000621559
179,0.000576335
180,0.000319165
181,0.000519799
182,0.000540548
183,0.00044986
184,0.00054137
185,0.000581004
186,0.000496276
187,0.000510221
188,0.000551639
189,0.000545237
190,0.000492018
191,0.000395788
192,0.000469957
193,0.000542502
194,0.000517585
195,0.000376192
196,0.00058963
197,0.000405947
198,0.000555786
199,0.000390288
200,0.000546309
201,0.000593817
202,0.000526572
203,0.000540949
204,0.000692452
205,0.000544445
206,0.000401349
207,0.000512967
208,0.000540899
209,0.000537733
210,0.000456572
211,0.000611791
212,0.00053598
213,0.000454968
214,0.000626319
215,0.00053647
216,0.000545708
217,0.00040216
218,0.000489022
219,0.00040185
220,0.000481138
221,0.000313004
222,0.000434049
223,0.000597665
224,0.000402471
225,0.000379809
226,0.000442235
227,0.000426145
228,0.00055759
229,0.000621669
230,0.000470838
231,0.000496717
232,0.000587856
233,0.000365993
234,0.00050362
235,0.00049331
236,0.000360953
237,0.000568951
238,0.000419763
239,0.000547341
240,0.00055763
241,0.000586384
242,0.000475266
243,0.000486637
244,0.000467852
245,0.000332751
246,0.000572478
247,0.000519078
248,0.000494883
249,0.000528956
250,0.000578659
251,0.000513568
252,0.000323313
253,0.000539457
254,0.000468404
255,0.000510131
256,0.000572338
257,0.000403242
258,0.00053585
259,0.000484614
260,0.00041266
261,0.000615719
262,0.000411748
263,0.000625045
264,0.000524178
265,0.000653479
266,0.000606241
267,0.000741183
268,0.000585031
269,0.000481278
270,0.000506475
271,0.000599678
272,0.00046089
273,0.000357246
274,0.000351876
275,0.000459948
276,0.000419452
277,0.00053604
278,0.000576425
279,0.000562149
280,0.000569592
281,0.000414884
282,0.000413692
283,0.000298417
284,0.000625316
285,0.000547241
286,0.000487329
287,0.000506755
288,0.000450881
289,0.0003212
290,0.000318073
291,0.000414213
292,0.000355874
293,0.00061621
294,0.000414563
295,0.000546329
296,0.000215472
297,0.000382884
298,0.000281866
299,0.000442455
300,0.000524829
301,0.000500934
302,0.000532944
303,0.000583398
304,0.000370481
305,0.0004129
306,0.000222525
307,0.000330356
308,0.000286815
309,0.000428178
310,0.000346076
311,0.000349502
312,0.000306933
313,0.000414704
314,0.0003969
315,0.000561146
316,0.000553443
317,0.00045527
318,0.000561918
319,0.000539427
320,0.000406007
321,0.000508329
322,0.000463424
323,0.000467643
324,0.000358799
325,0.000376663
326,0.000609837
327,0.000565916
328,0.000568581
329,0.000620638
330,0.000684918
331,0.000439079
332,0.000536059
333,0.00052017
334,0.000532544
335,0.000453336
336,0.00040209
337,0.000349652
338,0.000388314
339,0.000304127
340,0.000298096
341,0.000488862
342,0.000643721
343,0.000498069
344,0.000437967
345,0.000461972
346,0.000571436
347,0.000376713
348,0.000542812
349,0.000548553
350,0.000592936
351,0.000360373
352,0.000377655
353,0.000604428
354,0.00054662
355,0.00043405
356,0.000469366
357,0.000532774
358,0.000513718
359,0.000333041
360,0.000408963
361,0.000473514
362,0.000430333
363,0.000422268
364,0.000490595
365,0.000569793
366,0.000427317
367,0.000574642
368,0.000626408
369,0.000360903
370,0.000434831
371,0.000494703
372,0.000544045
373,0.000558782
374,0.000618003
375,0.000476769
376,0.000555656
377,0.000527414
378,0.000563531
379,0.000617441
380,0.000294499
381,0.000545899
382,0.000303005
383,0.000425273
384,0.000507397
385,0.000517545
386,0.000500664
387,0.000421045
388,0.000472101
389,0.000512566
390,0.000499732
391,0.000311411
392,0.000472451
393,0.000440592
394,0.000490625
395,0.00029501
396,0.000449538
397,0.000314446
398,0.000308124
399,0.000415665
400,0.000410125
401,0.00041257
402,0.000476579
403,0.000506725
404,0.000463915
405,0.000373016
406,0.000576816
407,0.000448567
408,0.000393994
409,0.000367285
410,0.000635014
411,0.000513348
412,0.000470778
413,0.000553373
414,0.000587375
415,0.000472652
416,0.000508909
417,0.000652637
418,0.000636647
419,0.000585201
420,0.000540779
421,0.000617992
422,0.00058969
423,0.000581905
424,0.000554014
425,0.000594108
426,0.000448246
427,0.000399375
428,0.000507907
429,0.000448567
430,0.000333322
431,0.000295501
432,0.000350053
433,0.000365852
434,0.000366784
435,0.000625096
436,0.000454789
437,0.000483271
438,0.000257741
439,0.000452614
440,0.000383957
441,0.00049852
442,0.000462392
443,0.000545247
444,0.000549555
445,0.000419502
446,0.000643039
447,0.000507787
448,0.000482279
449,0.00041306
450,0.01956335
451,0.000795274
452,0.000586544
453,0.000738728
454,0.000388434
455,0.00044499
456,0.000336478
457,0.000462563
458,0.000478632
459,0.000558922
460,0.00033272
461,0.000636757
462,0.00037529
463,0.000378636
464,0.00051965
465,0.000526331
466,0.000501695
467,0.00052041
468,0.000519439
469,0.000503279
470,0.000501335
471,0.00044495
472,0.000499292
473,0.000338381
474,0.000376252
475,0.000309317
476,0.000409745
477,0.000481458
478,0.000533144
479,0.000510843
480,0.000572699
481,0.000419402
482,0.00052038
483,0.000395307
484,0.000427487
485,0.000396801
486,0.000508188
487,0.000408352
488,0.000490735
489,0.000661273
490,0.00038074
491,0.000529388
492,0.000483302
493,0.000542001
494,0.000544335
495,0.000433318
496,0.000533615
497,0.000479975
498,0.000502938
499,0.000383996
500,0.000548543
501,0.000550387
502,0.000343611
503,0.000615478
504,0.000612112
505,0.000363729
506,0.000431745
507,0.000172722
508,0.000479214
509,0.000645915
510,0.000540839
511,0.000406939
512,0.000350884
513,0.000559163
514,0.001811769
515,0.000454097
516,0.000504882
517,0.000357848
518,0.000429682
519,0.000409754
520,0.000381301
521,0.000440521
522,0.000402511
523,0.000276846
524,0.000558011
525,0.000581374
526,0.0003804
527,0.000413351
528,0.000488872
529,0.000269272
530,0.000464647
531,0.000419402
532,0.000385078
533,0.000314797
534,0.000431124
535,0.000544276
536,0.000267398
537,0.00035403
538,0.000529948
539,0.00049371
540,0.000531752
541,0.000480616
542,0.000322712
543,0.000379468
544,0.000542231
545,0.000527133
546,0.000592305
547,0.000641938
548,0.000515311
549,0.000625607
550,0.000474094
551,0.000519078
552,0.000414774
553,0.000596873
554,0.000499752
555,0.000426776
556,0.00053595
557,0.000430252
558,0.00037017
559,0.000508198
560,0.000593998
561,0.000368317
562,0.000503048
563,0.000363728
564,0.000573539
565,0.00064865
566,0.000442505
567,0.000468534
568,0.000499682
569,0.000502968
570,0.000425193
571,0.000458535
572,0.000589479
573,0.000441954
574,0.000472552
575,0.000511844
576,0.000396499
577,0.000398563
578,0.000385259
579,0.000401529
580,0.000342539
581,0.000309628
582,0.000353168
583,0.000513047
584,0.000475828
585,0.000580032
586,0.000579731
587,0.000447264
588,0.000620007
589,0.000393254
590,0.000404455
591,0.000324595
592,0.000570995
593,0.000588478
594,0.000411948
595,0.000396409
596,0.000571105
597,0.000609045
598,0.000484273
599,0.000591052
600,0.000574021
601,0.000431084
602,0.000422828
603,0.000654651
604,0.000559624
605,0.000575423
606,0.000423911
607,0.000492979
608,0.000422218
609,0.000457613
610,0.000342238
611,0.000576606
612,0.000338751
613,0.000365572
614,0.000306993
615,0.000501866
616,0.000470277
617,0.000514149
618,0.000618354
619,0.000525391
620,0.000621619
621,0.000570403
622,0.000591393
623,0.000410275
624,0.000260686
625,0.000596182
626,0.000585122
627,0.000467182
628,0.000575534
629,0.000537272
630,0.000396189
631,0.000351195
632,0.000540357
633,0.000467922
634,0.00039702
635,0.000417309
636,0.00056805
637,0.000419232
638,0.000432597
639,0.000496696
640,0.000440783
641,0.000417138
642,0.000453135
643,0.000529607
644,0.000443317
645,0.000353258
646,0.000326749
647,0.000337179
648,0.000466309
649,0.000403352
650,0.000443878
651,0.000484334
652,0.000452374
653,0.000372966
654,0.000301382
655,0.000322011
656,0.000245197
657,0.000252651
658,0.000255837
659,0.000589039
660,0.000470016
661,0.000427648
662,0.000406578
663,0.000517726
664,0.000453887
665,0.000423369
666,0.000470928
667,0.000472722
668,0.000413862
669,0.00048266
670,0.000467472
671,0.000512526
672,0.000481258
673,0.000439339
674,0.000413862
675,0.000620457
676,0.000570554
677,0.000415556
678,0.000429101
679,0.000467192
680,0.000400046
681,0.000411788
682,0.000377234
683,0.000357988
684,0.000387473
685,0.000414604
686,0.000531301
687,0.000452675
688,0.000567499
689,0.00057362
690,0.000429151
691,0.000389676
692,0.000400567
693,0.000464286
694,0.000441384
695,0.000356305
696,0.000307193
697,0.000351806
698,0.000271236
699,0.000549295
700,0.000578328
701,0.00055788
702,0.000323504
703,0.00041264
704,0.000330446
705,0.000240138
706,0.000386872
707,0.000529337
708,0.000405927
709,0.000421997
710,0.000385619
711,0.000403633
712,0.000428068
713,0.000383345
714,0.000435383
715,0.000446533
716,0.000420344
717,0.000403323
718,0.000395397
719,0.000372665
720,0.000417158
721,0.000426505
722,0.000485956
723,0.000507747
724,0.00045049
725,0.000303266
726,0.00047721
727,0.000370551
728,0.000411156
729,0.000455159
730,0.000365191
731,0.000401409
732,0.000291183
733,0.000256379
734,0.000389837
735,0.000432717
736,0.000297886
737,0.000475366
738,0.000385819
739,0.00041856
740,0.000406158
741,0.000376372
742,0.000562499
743,0.000492669
744,0.000450029
745,0.00046652
746,0.00043395
747,0.000414282
748,0.000389467
749,0.000469546
750,0.000495525
751,0.000410135
752,0.000403212
753,0.000424732
754,0.000423119
755,0.00040187
756,0.000404785
757,0.000468083
758,0.000427958
759,0.000420024
760,0.000457644
761,0.000408412
762,0.000410005
763,0.000479134
764,0.000489974
765,0.000456001
766,0.000378115
767,0.000401118
768,0.000459016
769,0.000431545
770,0.000429241
771,0.000411618
772,0.000528987
773,0.000378526
774,0.000247562
775,0.000515321
776,0.00040232
777,0.000430413
778,0.000447545
779,0.00037537
780,0.000492008
781,0.000474495
782,0.00037565
783,0.00036452
784,0.000422919
785,0.00041866
786,0.000419913
787,0.000429912
788,0.000429291
789,0.000411297
790,0.000511935
791,0.000526592
792,0.000547441
793,0.000436344
794,0.000472882
795,0.000387983
796,0.000418991
797,0.000422008
798,0.00040202
799,0.000371282
800,0.00046626
801,0.000496446
802,0.00044494
803,0.000422879
804,0.000427768
805,0.000424191
806,0.000455539
807,0.000435813
808,0.000494702
809,0.000418761
810,0.000548393
811,0.000449398
812,0.000315879
813,0.000419222
814,0.000388064
815,0.000384537
816,0.000513688
817,0.000359571
818,0.000463976
819,0.000496927
820,0.000372936
821,0.000282607
822,0.000251018
823,0.000289581
824,0.000245688
825,0.000337149
826,0.000405376
827,0.000458705
828,0.000415915
829,0.000543784
830,0.000466721
831,0.000429611
832,0.000429531
833,0.000445821
834,0.000404565
835,0.000441754
836,0.000377284
837,0.000303246
838,0.000429111
839,0.000402741
840,0.000376172
841,0.000478413
842,0.000355753
843,0.000418942
844,0.000464747
845,0.000371452
846,0.000405487
847,0.000426085
848,0.000443397
849,0.00042317
850,0.000415525
851,0.000444579
852,0.000506335
853,0.000421516
854,0.000416416
855,0.000393645
856,0.000408882
857,0.000419844
858,0.000561407
859,0.000504271
860,0.000472621
861,0.00048292
862,0.000476048
863,0.000421256
864,0.000483402
865,0.000297275
866,0.00031088
867,0.000299178
868,0.000180046
869,0.000386511
870,0.000516865
871,0.000266057
872,0.00054171
873,0.000473213
874,0.000404074
875,0.000547831
876,0.000471941
877,0.000548372
878,0.000417098
879,0.000632941
880,0.000612753
881,0.00055759
882,0.00057921
883,0.000567538
884,0.000398934
885,0.000266337
886,0.000555336
887,0.000581385
888,0.000442676
889,0.00045608
890,0.000530199
891,0.00052493
892,0.000408743
893,0.000628442
894,0.000433549
895,0.000367485
896,0.000505202
897,0.000411758
898,0.000347478
899,0.000441524
900,0.000381982
901,0.000411437
902,0.000506935
903,0.000385409
904,0.000370792
905,0.0005196
906,0.000392752
907,0.000256568
908,0.000430203
909,0.000362015
910,0.000507947
911,0.000344233
